ISO,Rank2021,FR_Country,EN_country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
MLT,81,Malte,Malta,Malta,"30,46",0,"30,46",0,81,"30,16",UE Balkans,مالطا,مالت
MMR,140,Birmanie,Myanmar,Birmania,"46,14","30,91","46,14",-1,139,"44,77",Asie-Pacifique,بورما,برمه
MNE,104,Monténégro,Montenegro,Montenegro,"34,33","21,97","34,33",1,105,"33,83",UE Balkans,الجبل الأسود,مونته‌نگرو
MNG,68,Mongolie,Mongolia,Mongolia,"28,97",0,"28,97",5,73,"29,61",Asie-Pacifique,منغوليا,مغولستان
MOZ,108,Mozambique,Mozambique,Mozambique,"35,39","13,86","35,39",-4,104,"33,79",Afrique,موزمبيق,موزامبیک
MRT,94,Mauritanie,Mauritania,Mauritania,"32,25",0,"32,25",3,97,"32,54",Afrique,موريتانيا,موریتانی
MUS,61,Maurice,Mauritius,Mauricio,"28,74",0,"28,74",-5,56,28,Afrique,موريشيوس,موریس
MWI,62,Malawi,Malawi,Malaui,"28,8","17,92","28,8",7,69,"29,32",Afrique,مالاوي,مالاوی
MYS,119,Malaisie,Malaysia,Malasia,"39,47",0,"39,47",-18,101,"33,12",Asie-Pacifique,ماليزيا,مالزی
NAM,24,Namibie,Namibia,Namibia,"19,72","10,99","19,72",-1,23,"19,25",Afrique,ناميبيا,نامیبیا
NER,59,Niger,Niger,Niger,"28,44","13,86","28,44",-2,57,"28,25",Afrique,النيجر,نیجر
NGA,120,Nigeria,Nigeria,Nigeria,"37,38","55,01","39,69",-5,115,"35,63",Afrique,نيجيريا,نیجریه
NIC,121,Nicaragua,Nicaragua,Nicaragua,"39,98","27,08","39,98",-4,117,"35,81",Amériques,نيكاراغوا,نیکاراگوئه
NLD,6,Pays-Bas,Netherlands,Países Bajos,"8,74","13,86","9,67",-1,5,"9,96",UE Balkans,هولندا,هلند
NOR,1,Norvège,Norway,Noruega,"6,72",0,"6,72",0,1,"7,84",UE Balkans,النرويج,نروژ
NPL,106,Népal,Nepal,Nepal,"34,62","20,79","34,62",6,112,"35,1",Asie-Pacifique,نيبال,نپال
NZL,8,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"10,04",0,"10,04",1,9,"10,69",Asie-Pacifique,نيوزيلاندا,زلاند نو
OMN,133,Oman,Oman,Omàn,"43,37",0,"43,37",2,135,"43,42",MENA,عمان,عمان
PAK,145,Pakistan,Pakistan,Pakistàn,"44,16","59,64","46,86",0,145,"45,52",Asie-Pacifique,باكستان,پاکستان
PAN,77,Panama,Panama,Panamà,"29,94",0,"29,94",-1,76,"29,78",Amériques,بنما,پاناما
PER,91,Perou,Peru,Peru,"31,71","13,86","31,71",-1,90,"30,94",Amériques,بيرو,پرو
PHL,138,Philippines,Philippines,Filipinas,"42,89","58,97","45,64",-2,136,"43,54",Asie-Pacifique,الفلبين,فلیپین
PNG,47,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"24,88",0,"24,88",-1,46,"23,93",Asie-Pacifique,بابوا غينيا الجديدة,پاپوآ گینه نو
POL,64,Pologne,Poland,Polonia,"28,02","33,32","28,84",-2,62,"28,65",UE Balkans,بولندا,لهستان
PRK,179,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"81,28","51,93","81,28",1,180,"85,82",Asie-Pacifique,كوريا الشمالية,کره شمالی
PRT,9,Portugal,Portugal,Portugal,"10,11",0,"10,11",1,10,"11,83",UE Balkans,البرتغال,پرتغال
PRY,100,Paraguay,Paraguay,Paraguay,"30,99",45,"33,52",0,100,"32,97",Amériques,باراغواي,پاراگوئه
PSE,132,Palestine,Palestine,Palestina,"43,18","29,44","43,18",5,137,"44,09",MENA,فلسطين,فلسطین
QAT,128,Qatar,Qatar,Catar,"42,6",0,"42,6",1,129,"42,51",MENA,قطر,قطر
ROU,48,Roumanie,Romania,Rumania,"24,91",0,"24,91",0,48,"25,91",UE Balkans,رومانيا,رومانی
RUS,150,Russie,Russian Federation,Rusia,48,"52,98","48,71",-1,149,"48,92",EEAC,روسيا,روسیه
RWA,156,Rwanda,Rwanda,Ruanda,"50,66","30,45","50,66",-1,155,"50,34",Afrique,رواندا,روندا
SAU,170,Arabie saoudite,Saudi Arabia,Arabia Saudita,"61,15","71,07","62,73",0,170,"62,14",MENA,المملكة العربية السعودية,عربستان سعودی
SDN,159,Soudan,Sudan,Sudàn,"52,93","30,45","52,93",0,159,"55,33",Afrique,السودان,سودان
SEN,49,Sénégal,Senegal,Senegal,"24,62","28,33","25,22",-2,47,"23,99",Afrique,السنغال,سنگال
SGP,160,Singapour,Singapore,Singapur,"55,2",0,"55,2",-2,158,"55,23",Asie-Pacifique,سنغافورة,سنگاپور
SLE,75,Sierra Leone,Sierra Leone,Sierra Leona,"29,61","17,92","29,61",10,85,"30,28",Afrique,سيراليون,سئیرالئون
SLV,82,El Salvador,El Salvador,El Salvador,"30,49",0,"30,49",-8,74,"29,7",Amériques,السلفادور,ال‌سالوادور
SOM,161,Somalie,Somalia,Somalia,"55,47","45,43","55,47",2,163,"55,45",Afrique,الصومال,سومالی
SRB,93,Serbie,Serbia,Serbia,"32,03","31,78","32,03",0,93,"31,62",UE Balkans,صربيا,صربستان
SSD,139,Soudan du Sud,South Sudan,Sudàn del Sur,"45,78","30,45","45,78",-1,138,"44,49",Afrique,جمهورية جنوب السودان,سودان جنوبی
SUR,19,Surinam,Suriname,Surinam,"16,95",0,"16,95",1,20,"17,5",Amériques,سورينام,سورینام
SVK,35,Slovaquie,Slovakia,Eslovaquia,"23,02",0,"23,02",-2,33,"22,67",UE Balkans,سلوفاكيا,اسلواکی
SVN,36,Slovénie,Slovenia,Eslovenia,"23,1","6,93","23,1",-4,32,"22,64",UE Balkans,سلوفينيا,اسلوانی
SWE,3,Suede,Sweden,Suecia,"7,24",0,"7,24",1,4,"9,25",UE Balkans,السويد,سوئد
SWZ,141,Swaziland,Swaziland,Suazilandia,"46,34","24,85","46,34",0,141,"45,15",Afrique,سوازيلاند,سویزالند
SYC,52,Seychelles,Seychelles,Seychelles,"25,66",0,"25,66",11,63,"28,66",Afrique,سيشيل,سی‌شل
SYR,173,Syrie,Syrian Arab Republic,Siria,"68,11","82,59","70,63",1,174,"72,57",MENA,سوريا,سوریه
TCD,123,Tchad,Chad,Chad,"40,2","37,84","40,2",0,123,"39,7",Afrique,تشاد,چاد
TGO,74,Togo,Togo,Togo,"29,59",0,"29,59",-3,71,"29,33",Afrique,توغو,توگو
THA,137,Thaïlande,Thailand,Tailandia,"44,15","52,98","45,22",3,140,"44,94",Asie-Pacifique,تايلاند,تایلند
TJK,162,Tadjikistan,Tajikistan,Tayikistàn,"55,52","47,36","55,52",-1,161,"55,34",EEAC,طاجيكستان,تاجیکستان
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"80,03",0,"80,03",1,179,"85,44",EEAC,تركمانستان,ترکمنستان
TLS,71,Timor-Leste,East Timor,Timor Oriental,"29,11",0,"29,11",7,78,"29,9",Asie-Pacifique,تيمور الشرقية,تیمور شرقی
TON,46,Tonga,Tonga,Tonga,"24,59",0,"24,59",4,50,"27,27",Asie-Pacifique,تونغا,تونگا
TTO,31,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"21,55",0,"21,55",5,36,"23,22",Amériques,ترينيداد وتوباغو,ترنتی و توبوگو
TUN,73,Tunisie,Tunisia,Tœnez,"29,53",0,"29,53",-1,72,"29,45",MENA,تونس,تونس
TUR,153,Turquie,Turkey,Turquía,"46,14","66,12","49,79",1,154,"50,02",EEAC,تركيا,ترکیه
